number,name,tags,category,url
1,"Le ombre fuggon, sorge il sol","Gesù Cristo, Restaurazione, Scritture, Sion, battesimo, famiglia, fede, opera missionaria, raduno d’Israele, sacerdozio, templi, verità",Restaurazione,https://assets.churchofjesuschrist.org/bd/d7/bdd7dcd5d8a94395d308725f03f1c2f0337056f1/the_morning_breaks_accompaniment_eng.mp3
2,Lo Spirito arde,"Gesù Cristo, Joseph Smith, Millennio, Restaurazione, Scritture, Seconda Venuta, battesimo, famiglia, fede, lode, opera missionaria, sacerdozio, templi",Restaurazione,https://assets.churchofjesuschrist.org/49/ec/49ecc011ade6e074cdacf8e6ed0f8df18ebc658e/the_spirit_of_god_accompaniment_eng.mp3
3,S’approssima il tempo,"Gesù Cristo, Millennio, Seconda Venuta, amore, avversità, fede, gioia, guida, lode, pace, salvation, unità",Restaurazione,https://assets.churchofjesuschrist.org/97/0f/970fe23e23d3c726815275bed5d088a3989ece16/now_let_us_rejoice_accompaniment_eng.mp3
4,O eterna verità,"Joseph Smith, Restaurazione, conoscenza, rivelazione, sacerdozio, saggezza, verità",Restaurazione,https://assets.churchofjesuschrist.org/40/93/4093649319cdb546ef1fcc5a692c4dabc91ebbdc/truth_eternal_accompaniment_eng.mp3
5,Là dove sorge Sion,"Gesù Cristo, Restaurazione, Sion, apprendimento, exaltation, obbedienza, saggezza, servizio, templi, verità",Restaurazione,https://assets.churchofjesuschrist.org/5a/e3/5ae3fbffbf49edff129911ed84aa439f015a7f23/high_on_the_mountain_top_accompaniment_eng.mp3
6,O Re d’Israele,"Gesù Cristo, Israele, Sion, fede, grazia, lode, piano di salvezza, preghiera, raduno d’Israele, speranza, vita eterna",Restaurazione,https://assets.churchofjesuschrist.org/a7/e3/a7e3acba48e91be21f86b82440cd1a551e6256c6/redeemer_of_israel_accompaniment_eng.mp3
7,"Israele, Dio ti chiama","Seconda Venuta, Sion, fede, raduno d’Israele",Restaurazione,https://assets.churchofjesuschrist.org/0f/08/0f082b4a586ace41358bc920d7b9b3eb47ae356b/israel_israel_god_is_calling_accompaniment_eng.mp3
8,"Venite, cantiam, lodiamo il Signor","Joseph Smith, Restaurazione, lode, musica, profeti, sacerdozio",Restaurazione,https://assets.churchofjesuschrist.org/87/de/87de08451bf577cc1a31332d148c142576859b0a/come_sing_to_the_lord_accompaniment_eng.mp3
9,Dall’alto scese un angel,"Restaurazione, Scritture, raduno d’Israele",Restaurazione,https://assets.churchofjesuschrist.org/d6/a4/d6a42dc776a1a93241c365f300f81c4bf91a60d7/an_angel_from_on_high_accompaniment_eng.mp3
10,Dolce è la pace del Vangel,"Padre Celeste, conforto, conoscenza, misericordia, moralità, pace, saggezza",Restaurazione,https://assets.churchofjesuschrist.org/19/27/19276d17a94e031b1a6963628b244f8b925aa61b/sweet_is_the_peace_the_gospel_brings_accompaniment_eng.mp3
11,"Ti siam grati, o Signor, per il Profeta","Padre Celeste, Sion, Vangelo, avversità, exaltation, fede, gratitudine, grazia, guida, lode, obbedienza, pace, piano di salvezza, profeti, rendere il culto, servizio, speranza, vita eterna",Restaurazione,https://assets.churchofjesuschrist.org/9f/08/9f083d2e3bfa3db29e2eb871da13a1c1d6181a49/te_damos_senor_nuestras_graciasmusica_solo.mp3
12,Dio di forza e di virtù,"Spirito Santo, giovani, guida, leader, sacerdozio",Restaurazione,https://assets.churchofjesuschrist.org/e1/7e/e17e23e000891a7cfc4857de96bced42e67e9655/god_of_power_god_of_right_accompaniment_eng.mp3
13,Ascolta il Profeta,"Restaurazione, conoscenza, gioia, profeti, verità",Restaurazione,https://assets.churchofjesuschrist.org/29/0b/290ba0d5a154b552612845720165c5e9ca7d3fd0/come_listen_to_a_prophets_voice_accompaniment_eng.mp3
14,"Del Tuo profeta, o Dio","preghiera, profeti, unità, verità",Restaurazione,https://assets.churchofjesuschrist.org/0c/6d/0c6d8a1cfd1f240b01311d55b1782eb51f0dc044/god_bless_our_prophet_dear_accompaniment_eng.mp3
15,"Per te, Profeta","preghiera, profeti",Restaurazione,https://assets.churchofjesuschrist.org/0c/3c/0c3c83c613ded96fc53a7db36f08e9fa6d17e96c/we_ever_pray_for_thee_accompaniment_eng.mp3
16,Se ascolti il Profeta,"Gesù Cristo, lode, piano di salvezza, profeti",Restaurazione,https://assets.churchofjesuschrist.org/6d/1a/6d1acdbecf4cce6145394ea49804ff32462a6e33/we_listen_to_a_prophets_voice_accompaniment_eng.mp3
